"Год/Месяц","Январь","Февраль","Март","Апрель","Май","Июнь","Июль","Август","Сентябрь","Октябрь","Ноябрь","Декабрь","Всего рабочих дней","Всего праздничных и выходных дней","Количество рабочих часов при 40-часовой рабочей неделе","Количество рабочих часов при 36-часовой рабочей неделе","Количество рабочих часов при 24-часовой рабочей неделе"
2015,"1,2+,3,4,6*,7,8+,9+,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28","1,7,8,9+,14,15,21,22,28,29","4,5,11,12,13+,18,19,25,26,30*","1,2,3,4+,8*,9,10,11+,16,17,23,24,30,31","1+,6,7,13,14,20,21,27,28,29+","4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,24,29,30","5,6,12,13,19,20,26,27","3,4,10,11,13*,14,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27,31*",247,118,1971,1773.4,1180.6
2016,"1,2,3,6*,7,8+,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","5,6,7+,8,12*,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,2,3+,7,8,9,14,15,21,22,28,29","4,5,11,12,18,19,20+,25,26,27+,28","2*,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,23*,24,27,28","3,4,10,11,17,18,24,25","1,2,8,9,13*,14,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,10,11,17,18,24,25,31",250,116,1995,1795,1195
2017,"1,2+,6*,7,8,9+,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,7*,8,11,12,18,19,25,26","1,2,8,9,15,16,17+,22,23,29,30","1,2,6,7,8+,9,13*,14,20,21,27,28","3,4,5+,10,11,17,18,24,25,27*,28","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,23*,24,25+,26,27","2,3,9,10,16,17,23,24,30","1,7,8,13*,14,15,16+,21,22,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31",248,117,1978,1779.6000000000001,1184.3999999999999
2018,"1,6,7,8+,13,14,20,21,27,28","3,4,10,11,17,18,24,25","3,4,7*,8,9+,10,11,17,18,24,25,31","1,7,8,9+,14,15,21,22,28,29,30+","1,5*,6,8*,9,12,13,19,20,26,27,28+","2,3,9,10,16,17,23,24,27*,28,29+,30","1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,23*,24,25,26","1,2,8,9,15,16,22,23,29,30","6,7,13,14,15+,20,21,27,28","3,4,10,11,17,18,24,25","1,2,8,9,15,16,22*,23,24+,25,29*,30,31+",248,117,1977,1778.6000000000001,1183.3999999999999
2019,"1,5,6,7,12,13,19,20,26,27","2,3,9,10,16,17,23,24","2,3,7*,8,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28,29+,30+","1,4,5,8*,9,11*,12,18,19,25,26","1,2,8,9,15,16,17+,22,23,27*,28,29,30","6,7,13,14,20,21,27,28","3,4,10,11,17,18,23*,24,25,26+,31","1,7,8,14,15,21,22,28,29","5,6,12,13,14,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,24*,25,28*,29,30+,31+",249,116,1985,1785.8,1188.2
2020,"1,4,5,6+,7,11*,12,18,19,25,26","1,2,8,9,15,16,22,23,29","1,7,8,9+,14,15,21,22,28,29","4,5,11,12,18,19,20+,25,26,30*","1,2,3,8*,9,10,11+,16,17,23,24,30,31","6,7,8+,13,14,20,21,27,28,29+","4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,24,29,30","5,6,12,13,19,20,26,27","3,4,10,11,13*,14,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,24*,25,26,27,31*",251,115,2002,1801.2,1198.8
2021,"1,2,3,6*,7,8+,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","6,7,8,13,14,20,21,27,28","3,4,10,11,17,18,24,25,30*","1,2,3+,4+,8,9,10+,15,16,22,23,29,30","5,6,12,13,19,20,21+,26,27,28","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,23+,24,28*,29","4,5,11,12,18,19,25,26","2,3,9,10,13*,14,15+,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,11,12,18,19,24*,25,26,27+,31*",248,117,1978,1779.6000000000001,1184.3999999999999
2022,"1,2,3,6*,7,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","5,6,7*,8,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,2,7,8,9,14,15,21,22,28,29","4,5,11,12,18,19,25,26,27*,28","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,23*,24,27,28","3,4,10,11,17,18,24,25","1,2,8,9,13*,14,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,10,11,17,18,24,25,26,31",251,114,2003,1802.2,1199.8
