"Год/Месяц","Январь","Февраль","Март","Апрель","Май","Июнь","Июль","Август","Сентябрь","Октябрь","Ноябрь","Декабрь","Всего рабочих дней","Всего праздничных и выходных дней","Количество рабочих часов при 40-часовой рабочей неделе","Количество рабочих часов при 36-часовой рабочей неделе","Количество рабочих часов при 24-часовой рабочей неделе"
2019,"1,2,3+,5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24","2,3,8,9,10,16,17,21,22,23,24,30,31","6,7,13,14,20,21,27,28","4,5,9,11,12,18,19,25,26","1,2,5,6+,8,9,15,16,22,23,29,30","6,7,13,14,20,21,27,28","3,4,10,11,12,17,18,24,25,31","1,2,3+,7,8,14,15,21,22,28,29","1,5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29,31+",247,118,1976,1778.4,1185.6
2020,"1,2+,4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29","1,7,8,14,15,21,22,23,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,11,12,18,19,25,26,31","1,2,8,9,15,16,22,23,29,30,31+","1,5,6,12,13,19,20,26,27","1,3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,8,12,13,19,20,26,27",254,112,2032,1828.8,1219.2
2021,"1,2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","6,7,8,13,14,20,21,22+,27,28","3,4,10,11,17,18,24,25","1,2,8,9,13,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,10,11,17,18,20,24,25,31","1,7,8,14,15,21,22,28,29","1,2,3,4,5,11,12,18,19,25,26","1,2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","4,5,8,11,12,18,19,25,26",251,114,2008,1807.2,1204.8
2022,"1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","5,6,8,12,13,19,20,21,26,27","2,3,9,10,16,17,23,24,30","1,7,8,9,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,9,10,16,17,23,24,30,31","6,7,13,14,20,21,27,28","1,3,4,10,11,17,18,24,25","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","3,4,8,10,11,17,18,24,25,31",255,110,2040,1836,1224
2023,"1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","4,5,8,11,12,18,19,21,25,26","1,2,8,9,15,16,22,23,29,30","6,7,9,13,14,20,21,27,28","3,4,10,11,17,18,24,25","1,2,8,9,15,16,22,23,29,30","5,6,12,13,19,20,26,27","1,2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29","4,5,11,12,18,19,25,26","2,3,8,9,10,16,17,23,24,30,31",255,110,2040,1836,1224
2024,"1,6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25","2,3,8,9,10,16,17,21,23,24,30,31","6,7,13,14,20,21,27,28","4,5,9,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","6,7,13,14,20,21,27,28","3,4,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","1,5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30","1,7,8,14,15,21,22,28,29",257,109,2056,1850.4,1233.6
2025,"1,4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23","1,2,8,9,15,16,21,22,23,29,30","5,6,12,13,19,20,26,27","3,4,9,10,11,17,18,24,25,31","1,7,8,14,15,21,22,28,29","5,6,12,13,19,20,26,27","2,3,9,10,16,17,23,24,30,31","1,6,7,13,14,20,21,27,28","1,4,5,11,12,18,19,25,26","1,2,8,9,15,16,22,23,29,30","6,7,8,13,14,20,21,27,28",255,110,2040,1836,1224
